split,startDate,duration,totalEnergyBurned,totalDistance,averageHeartRate,percentInZone,minHR,maxHR,stdHR
Pull,2024-02-19T15:49:21Z,4726.3422549963,438.50008840451636,0.0,110.79403261081903,0.1220865704772475,64.0,122.74140625000001,28.339833243754494
Sarms,2024-01-12T16:24:46Z,4384.0935978889465,613.267999999995,0.0,130.17835548358715,0.45433255269320844,102.0,142.37025316455686,18.365760685666963
Sarms,2024-01-08T20:59:03Z,3714.6342819929123,429.2638918996625,0.0,119.57232807251086,0.27739251040221913,64.0,128.5525078369906,38.08033584030806
Pull,2024-03-23T00:06:26Z,5284.192399978638,437.4389999999909,0.0,105.33835185534497,0.07917888563049853,64.0,149.0,16.590529280276513
Sarms,2024-04-13T20:40:48Z,3852.2249079942703,361.5379999999939,0.0,108.99320408598355,0.11007957559681697,68.0,159.0,17.50813598656475
Sarms,2024-01-26T17:32:34Z,4556.778072953224,579.4679999999979,0.0,124.7967865862899,0.4336677814938685,57.0,136.8697017268446,30.251083804213145
Sarms,2024-04-30T14:21:39Z,3639.0941680669785,327.96667444465675,0.0,110.99080789134948,0.07275320970042796,77.00000000000001,141.0,13.422369685985947
Sarms,2024-01-22T17:44:48Z,4835.482857942581,622.4029999999942,0.0,125.31995002059529,0.4053475935828877,59.0,137.61013215859035,35.438770307638364
Sarms,2024-02-07T15:52:06Z,4616.592236995697,479.8399999999921,0.0,115.22312712967025,0.2178329571106095,67.0,126.39446870451232,29.830182456683133
Abs,2024-06-18T22:25:41Z,1549.220127940178,126.7280673824919,0.0,101.60807619525174,0.09027777777777778,73.0,139.00000000000003,17.98544273332759
Pull,2024-03-14T12:42:42Z,4101.709308028221,305.8731540732621,0.0,99.72779647410555,0.05570652173913043,66.0,148.0,16.16651379400648
Sarms,2024-05-04T17:22:51Z,3986.599815964699,326.50700000000126,0.0,104.27734140221708,0.046357615894039736,65.08158874511719,147.0,16.06147629711515
Sarms,2024-04-27T02:14:39Z,1915.473158955574,150.6470895175424,0.0,105.53776954018637,0.016304347826086956,74.0,134.0,12.801596803268287
Pull,2024-02-23T15:00:07Z,4845.0747710466385,439.5016921577241,0.0,110.4584270865587,0.10796645702306079,65.0,149.0,15.358068671596625
Pull,2024-02-27T14:29:30Z,4498.9544069767,471.7215243183905,0.0,115.0353536328001,0.1859122401847575,61.0,157.0,16.478789276273485
Sarms,2024-01-30T21:43:39Z,4376.91385102272,441.4599999999894,0.0,115.62602696452115,0.1727810650887574,60.0,123.84846153846154,26.648080130835144
Pull,2024-03-19T14:49:17Z,5094.398420929909,492.0037785482679,0.0,111.39875461925796,0.17133956386292834,62.408428192138665,159.0,18.383268154052175
Sarms,2024-02-15T14:25:55Z,4873.157672047615,566.1189999999926,0.0,119.60725808065799,0.26480086114101187,63.0,129.0455950540958,25.552388351613374
Sarms,2024-01-02T16:54:30Z,4443.61776304245,633.2680171228802,0.0,128.80009593503235,0.4642857142857143,95.0,137.78593750000002,25.808296199561372
Abs,2024-06-07T20:42:12Z,1791.970206975937,126.21299999999859,0.0,94.09178948072919,0.014925373134328358,66.0,136.0,16.52024694323264
Sarms,2024-04-23T15:12:14Z,4440.650091052055,299.60099999999596,0.0,95.44526555612197,0.004728132387706856,61.0,136.0,14.838005682982102
Abs,2024-06-11T22:13:31Z,1631.146390914917,121.36282553495461,0.0,95.76181818181823,0.009966777408637873,62.00000000000001,132.0,15.526808200158777
Pull,2024-03-02T15:07:07Z,5312.620208978653,438.0469999999849,0.0,105.21469822870948,0.061446977205153616,61.0,150.0,14.836967313295405
Chest/back,2024-05-06T19:09:55Z,2745.5626829862595,218.46282828164112,0.0,103.10739942528734,0.047151277013752456,61.96769332885742,142.0,15.607390144524249
Sarms,2024-05-08T22:21:55Z,4214.410516023636,311.25503500796856,0.0,104.95750778129045,0.02078239608801956,72.0,137.0,12.258942567622157
Sarms,2024-01-18T16:25:20Z,4589.202778935432,659.9902116190593,0.0,132.05742108517802,0.5685393258426966,56.0,137.5369279588549,32.78474622084717
Pull,2024-03-06T15:46:33Z,4981.465732932091,371.2907242998989,0.0,97.88280702526822,0.02092050209205021,66.0,145.0,14.919597292384946
Pull,2024-03-10T16:17:48Z,4500.49722802639,411.60699999999457,0.0,112.34686191359563,0.0963855421686747,65.25965881347656,155.0,13.826182691577499
Sarms,2024-04-20T18:57:14Z,2518.8930389881134,186.04345816197852,0.0,101.97106522098522,0.026726057906458798,67.0,133.0,13.605569352076056
Pull,2024-04-03T19:24:00Z,3989.245666027069,305.32705264850233,0.0,101.13359040630213,0.04709141274238227,61.0,144.0,15.562304425458668
Chest/back,2024-02-01T21:37:00Z,5276.159790992737,562.0684895017464,0.0,117.58560996905338,0.2180746561886051,58.0,131.1888714733543,28.271271914076976
Chest/back,2024-01-28T16:42:10Z,4254.395135045052,379.01696517539193,0.0,111.97930328677533,0.08010012515644556,67.0,120.1,19.302915433741266
Chest/back,2024-01-20T17:16:48Z,4397.501554012299,553.4644247609111,0.0,124.50778566521082,0.35411764705882354,56.0,137.80702138299173,32.71751251050605
Chest/back,2024-02-09T17:08:58Z,4432.0945999622345,405.2330571115451,0.0,110.35308295594139,0.12817551963048499,68.0,126.62362204724407,17.30585324992282
Chest/back,2024-01-24T17:40:44Z,4841.606292963028,587.298878101103,0.0,122.63158130763712,0.3283740701381509,64.0,130.82142166793437,25.324724997879535
Chest/back,2024-02-05T14:53:27Z,4505.629969954491,483.80944534917194,0.0,116.24521395314734,0.19036427732079905,51.0,127.34709220243072,28.07244492072171
